ticker,name,records,has_users
000660 KS,SK HYNIX INC,130,False
005930 KS,SAMSUNG ELECTRON,130,False
2337 TT,MACRONIX INTERNATIONAL,130,False
2344 TT,WINBOND ELECTRONICS CORP,130,False
2353 TT,ACER INC,130,False
2395 TT,ADVANTECH CO LTD,130,False
3443 TT,GLOBAL UNICHIP CORP,130,False
3661 TT,ALCHIP TECHNOLOGIES LTD,130,False
3665 TT,BIZLINK HOLDING INC,130,False
4488 JP,AI INSIDE INC,71,False
4755 JP,RAKUTEN GROUP INC,130,False
5803 JP,FUJIKURA LTD,130,False
6526 JP,SOCIONEXT INC,37,False
6588 JP,TOSHIBA TEC CORP,130,False
6701 JP,NEC CORP,130,False
6702 JP,FUJITSU LIMITED,130,False
6954 JP,FANUC CORP,130,False
AMP IM,AMPLIFON SPA,130,False
ENR GR,SIEMENS ENERGY AG NPV,62,False
IFX GR,INFINEON TECHNOLOGIES AG,130,False
OTEX CN,OPEN TEXT CORP,130,False
SIE GR,SIEMENS AG-REG,130,False
STMMI IM,STMICROELECTRONICS NV,130,False
TEMN SW,TEMENOS AG - REG,7,False
TIETO FH,TIETOEVRY OYJ,130,False
